hr,fr,jr,flr,jaw_angle,temple_ratio,chin_ratio,label
0.9773037156713487,0.8467828999230594,0.8816162765519622,0.9631165488533182,103.8321015731871,1.0147304776715982,0.7961934935613024,Heart
0.916551582446333,0.847523630133662,0.8757784282945904,0.9058333039138882,111.45281996040433,1.0118325065838645,0.7847586190331173,Heart
1.035457967225394,0.8432904394620944,0.8440536953587362,1.0105084731752196,104.82262372548234,1.0246900394330967,0.7450533299737128,Heart
1.1610219944378553,0.8288050163806684,0.8850572815739636,1.150677221290752,104.0123943412036,1.0089901607120537,0.7811601467404985,Heart
0.903081856511777,0.8524018984861674,0.9101488164857805,0.9011845649659869,113.25098311832332,1.002105330716424,0.8107503725334868,Heart
0.9645719509462016,0.8244954705224914,0.8661877577317499,0.9543771485106065,109.8879020142062,1.010682152701901,0.7755738517731879,Heart
0.9326301022470735,0.8544005841686785,0.8612758837177851,0.9260374634182567,111.58844084067438,1.0071191923537106,0.7751801144004576,Heart
0.9423293578815828,0.8601358786627128,0.8867550390324991,0.9356498604395315,110.63419709400742,1.0071388857354326,0.7979271954272951,Heart
0.9541120559392597,0.8787655473410508,0.8661529013419288,0.9415037596282385,103.80436750027224,1.0133916579536546,0.7753655060802289,Heart
0.8240584642422567,0.845816077720707,0.8613224957459127,0.8115905119924222,118.33557399475417,1.0153623681716364,0.7737057640957762,Heart
0.8794692016505916,0.8623490992079789,0.8829914725170577,0.8704867915500972,110.44958960137346,1.0103188356074873,0.7963275302422396,Heart
0.9265405855175224,0.8759895979926076,0.8841769025023926,0.9130853753907902,110.2180381743338,1.0147359825152973,0.7837690743093024,Heart
1.2006035456766562,0.8415524566533363,0.8734207888460755,1.1816713884010306,99.42033675191018,1.0160215077232626,0.7700453581795812,Heart
0.8171699516932017,0.8471848122097252,0.9084098666925324,0.8125471941539538,122.75455345267925,1.0056892172817866,0.8004896252890995,Heart
0.9604312505335182,0.8699477834434918,0.8934433486214092,0.9512293420357908,116.16729989242475,1.0096737012737997,0.8088455316893354,Heart
0.9466560155146826,0.8541849134433734,0.8624037851087387,0.926290427468732,103.67866610491285,1.0219861799733843,0.7730957683534864,Heart
0.8870619362720754,0.824880638677617,0.8684649781875421,0.8827038098705321,115.29107708623302,1.0049372466197724,0.780232606541456,Heart
0.8595841413975618,0.8056214910839048,0.8831831362623102,0.8516288742352885,105.91339779134854,1.0093412370140886,0.7905442027683599,Heart
0.9802706223105659,0.8366828162840028,0.8682788104155952,0.9604934028202036,101.87244069344138,1.0205906874865485,0.7826704828705698,Heart
0.7616053856753123,0.8139119815558824,0.8889904943011339,0.7540088997038494,115.51964762204321,1.010074796165465,0.7969738312248418,Heart
0.8492670616200638,0.8756562182537311,0.8572918862415833,0.8299871587144662,102.12060135909219,1.0232291580696977,0.7634208666789623,Heart
1.028621236463894,0.8705371738897864,0.8599615692788836,1.0079537114795194,105.53341584113849,1.0205044385957347,0.7675550989940941,Heart
1.0179164096707423,0.8530692650790969,0.8953224695750754,1.0070023467793676,111.07327692562315,1.010838170264727,0.8072041348506612,Heart
0.8214059661320474,0.840748903915816,0.8993070184168664,0.8135662169957409,112.74107504080895,1.0096362766453804,0.8132660771230108,Heart
0.9127597882266156,0.8105509137255827,0.8886824751347054,0.9040570818627309,111.88770614678519,1.0096262797321975,0.7970664836156552,Heart
1.0425386490165203,0.837717072388049,0.8659269123878542,1.0289799927326844,98.15267678345029,1.0131767929207525,0.7794613941440814,Heart
0.9485226759235518,0.8105588993419451,0.8918080556849906,0.944174311031275,112.1665749009542,1.0046054683351078,0.800326985232234,Heart
0.9955909033113804,0.8450930605314714,0.8757602199842226,0.9818186918223509,105.70234921519713,1.0140272451560959,0.7910690217161277,Heart
